Subject;Lextale;Num_Mistakes;Experiment;Outcome;Language
190;73,75;2;2;Lexical;L1
190;73,75;0;2;Lexical;L2
190;73,75;1;2;Non-lexical;L1
190;73,75;0;2;Non-lexical;L2
191;82,5;0;2;Lexical;L1
191;82,5;0;2;Lexical;L2
191;82,5;0;2;Non-lexical;L1
191;82,5;0;2;Non-lexical;L2
192;85;1;2;Lexical;L2
192;85;0;2;Lexical;L1
192;85;0;2;Non-lexical;L1
192;85;0;2;Non-lexical;L2
